"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
53,15,-2,4,4,1,1,0,499,524,-4,1,-4,-4,-4,0,0,0,100,1,8730,1,4,0,1
54,20,3,5,1,3,1,0,-4,-4,-4,-4,6730,1,12,1,42000,13000,50,2,42000,0,1,1,1
55,20,12,12,1,3,1,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,14,12,12,5,3,2,-3,523,595,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,20,12,12,5,3,2,-3,471,478,-4,1,2720,3,25,1,52000,166689,75,3,52000,0,1,3,1
58,22,12,17,5,3,2,0,571,668,1105,3,230,1,60,1,119840,739500,20,2,177532,0,1,1,1
59,20,-2,-2,1,3,1,-3,668,610,-4,1,8260,4,-4,1,45000,-3,0,2,-2,-3,1,1,1
60,17,12,16,1,3,1,-3,565,522,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
61,16,12,16,5,3,2,0,663,722,701,1,-4,-4,-4,0,0,684000,50,5,130000,0,1,1,1
62,14,12,16,5,3,2,0,470,508,-4,1,5500,2,8000,1,65000,155400,20,4,65000,0,1,3,1
63,19,12,12,1,3,1,-3,603,681,701,-5,430,2,4000,1,155000,1404000,25,3,922631,0,1,1,1
64,17,15,12,1,3,1,0,594,712,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,15,16,12,5,3,2,0,569,627,506,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,15,12,17,1,3,1,-3,389,470,604,1,-4,-4,-4,0,-1,0,80,2,-1,-3,1,3,1
67,21,-3,18,1,3,1,0,750,576,504,5,840,4,-4,0,130000,5526252,10,3,922631,0,1,1,1
68,16,16,17,5,3,2,0,750,715,1102,3,-4,-4,-4,0,20000,-3,20,4,-2,-3,1,1,1
69,14,17,16,1,3,1,0,618,572,607,-5,10,2,550,1,125000,553000,25,4,163150,0,1,1,1
70,17,20,16,1,3,1,0,-4,-4,901,8,9620,2,-4,1,40000,-3,0,1,42580,0,1,3,1
71,15,17,16,1,3,1,-3,741,721,1501,7,2100,4,-4,1,-1,-3,10,3,-1,-3,1,3,1
72,19,14,16,5,3,2,1,672,529,506,4,800,3,125,1,42000,803700,5,1,44500,0,1,0,1
73,15,16,16,1,3,1,0,546,672,2207,3,4960,2,12,1,332954,749000,19,4,922631,0,1,1,1
74,19,15,16,5,3,2,0,595,684,1501,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
