"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
988,19,-2,-2,7,2,2,-3,388,382,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
989,22,12,14,5,3,2,0,561,496,1203,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
990,19,12,16,1,3,1,0,553,521,1501,1,6230,4,-4,1,55000,532000,60,2,190000,0,2,1,1
991,16,12,14,5,3,2,0,506,484,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
992,20,16,16,5,3,2,-3,441,422,-4,1,4230,4,-4,1,7000,-3,70,2,145000,0,2,1,1
993,14,14,8,1,3,1,0,702,675,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
994,17,12,11,1,3,1,-3,545,436,1401,1,-4,-4,-4,0,0,112000,40,3,48200,0,2,3,1
995,21,-3,11,5,3,2,0,529,666,-4,-4,5240,2,18,0,24574,94700,30,2,38050,0,2,1,1
996,18,12,15,1,3,1,0,468,462,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
997,14,12,12,1,3,1,0,530,630,-4,1,7200,1,40,1,50000,108400,10,1,50000,0,2,3,1
998,21,12,8,5,3,2,0,596,616,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
999,15,10,8,5,3,2,0,551,498,506,1,230,3,40,1,68000,-26000,10,2,123000,0,2,1,1
1000,17,16,12,3,2,1,0,512,621,-4,1,4000,2,8,1,24000,-21364,10,1,26157,0,2,3,1
1001,19,12,12,7,2,2,0,398,386,1203,1,2300,1,75,1,12000,-23886,50,1,12000,0,2,0,1
1002,16,10,12,3,2,1,0,288,361,-4,1,4250,4,-4,1,1300,0,50,2,3130,1,2,0,1
1003,14,12,16,1,3,1,0,520,567,501,4,5120,4,-4,1,35000,197000,0,2,55600,0,2,1,0
1004,18,12,11,5,3,2,0,459,425,1212,2,3620,3,20,1,60000,-52500,50,1,60000,0,3,0,1
1005,19,12,12,5,3,2,0,467,398,-4,-4,4030,1,7,0,500,500,40,2,5892,1,2,3,1
1006,20,12,12,5,3,2,-3,605,492,-5,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1007,21,12,11,1,3,1,-3,507,527,-4,1,220,2,6,1,150000,5526252,100,2,330000,0,2,1,0
1008,20,8,16,5,3,2,0,484,488,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1009,21,8,12,6,3,2,0,408,402,835,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1010,14,10,12,1,3,1,0,645,584,501,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1011,16,12,12,1,3,1,0,535,447,-4,1,7700,2,480,1,62000,76100,10,2,94000,0,2,1,1
1012,16,8,8,1,3,1,0,480,328,-4,1,-4,-4,-4,0,0,85000,100,4,19344,1,2,1,0
1013,14,9,8,1,3,1,0,625,558,200,1,-4,-4,-4,0,25000,7000,0,1,27400,0,2,3,0
1014,19,14,16,1,3,1,-3,606,681,501,4,2340,3,400,1,52000,539200,10,3,97800,0,3,1,1
1015,16,-2,16,5,3,2,0,544,612,2001,1,420,3,50,0,0,-3,30,2,120000,0,3,1,1
1016,18,12,12,5,3,2,-3,471,498,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1017,17,12,15,5,3,2,0,573,527,504,4,120,2,12,1,77000,369000,0,1,77500,0,2,3,1
1018,14,12,15,5,3,2,-3,535,528,1306,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1019,14,16,16,5,3,2,0,713,663,1306,4,4610,4,-4,1,10000,3000,29,5,100000,0,3,1,1
1020,18,16,16,5,3,2,0,755,610,1212,5,3160,2,30,1,72400,96200,0,1,72400,0,2,3,0
1021,14,11,13,1,3,1,0,536,547,901,1,4700,4,-4,0,332954,2242705,-2,4,922631,0,2,1,1
1022,16,12,12,5,3,2,0,358,381,2001,3,5400,2,10,1,40000,-200,50,1,40000,0,4,3,1
1023,20,16,16,1,3,1,1,620,610,1011,4,10,4,-4,1,40000,115300,40,1,40000,0,2,3,1
1024,16,14,18,5,3,2,0,575,610,9996,4,-4,-4,-4,0,0,849150,80,2,25000,0,2,1,1
1025,21,-2,-2,7,2,2,-5,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1026,21,12,15,1,3,1,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1027,17,14,-2,3,2,1,-3,411,348,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1028,16,-2,-2,3,2,1,1,309,261,-4,-4,-4,-4,-4,0,0,-1200,30,5,-2,-3,2,1,1
1029,15,14,11,7,2,2,1,452,398,-4,1,9120,2,150,1,5000,-6000,20,6,39569,0,2,1,1
1030,20,10,-3,7,2,2,-3,414,351,-4,-4,4120,2,40,1,29000,2000,50,2,30000,0,2,0,1
1031,18,-2,-4,7,2,2,1,400,299,-4,-4,-4,-4,-4,0,0,-45,100,1,9768,1,2,0,1
1032,16,-3,-2,3,2,1,1,313,252,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1033,15,9,11,7,2,2,1,347,350,-4,-4,-4,-4,-4,0,0,-10000,50,3,3294,1,2,0,1
1034,21,9,8,7,2,2,1,399,346,-4,-4,3600,2,150,1,24000,23714,50,6,24000,1,2,0,1
1035,15,8,10,5,3,2,0,404,442,-4,-4,4010,2,4,0,12000,21992,40,3,-2,-3,2,3,1
1036,16,10,-2,5,3,2,0,-4,-4,-4,1,4720,2,7,0,6000,-2000,30,1,6000,1,2,0,1
1037,17,12,14,5,3,2,-3,473,512,-4,-5,4510,4,-4,1,52000,7700,0,1,52000,0,2,3,1
1038,14,12,14,5,3,2,-3,583,515,1305,1,3510,3,2000,1,43000,852935,10,4,121000,0,2,1,0
1039,19,13,12,5,3,2,0,558,506,502,1,-4,-4,-4,0,0,1400,100,1,44928,0,2,3,1
1040,19,12,12,5,3,2,-3,537,491,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1041,21,11,8,5,3,2,0,-4,-4,-4,1,-4,-4,-4,0,0,1000,100,1,14208,0,2,6,1
1042,16,14,14,2,3,1,0,501,471,2207,1,8960,2,240,0,0,0,80,3,20000,1,2,0,1
1043,15,12,16,2,3,1,0,366,254,-4,1,-4,-4,-4,0,0,0,100,1,20988,0,2,3,1
1044,14,12,9,1,3,1,0,382,344,-4,1,5620,2,200,1,21000,4500,40,1,21000,0,2,3,1
1045,20,-3,12,1,3,1,0,515,531,-4,1,-4,-4,-4,0,0,124800,100,2,35424,0,2,1,1
1046,15,16,12,1,3,1,0,530,540,501,3,60,3,17,1,77500,179000,10,1,77500,0,2,1,1
1047,19,16,6,6,3,2,1,413,477,-4,1,-4,-4,-4,0,0,125000,100,2,18204,0,2,1,1
1048,20,11,11,5,3,2,0,316,376,-4,1,-4,-4,-4,0,0,3100,100,2,26000,0,3,1,1
1049,16,12,14,5,3,2,0,588,556,802,3,2320,1,110,1,61000,365500,10,4,126040,0,2,1,1
1050,17,12,18,5,3,2,1,574,562,509,2,2600,4,-4,0,5000,2604209,50,3,922631,0,2,1,1
1051,17,8,12,1,3,1,0,714,640,115,4,1420,1,40,0,106000,325000,20,2,133300,0,4,1,1
1052,16,12,12,1,3,1,0,655,587,909,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1053,15,12,12,1,3,1,0,572,511,835,4,110,2,1750,1,332954,109968,15,3,230000,0,2,3,1
1054,18,12,12,1,3,1,0,-4,-4,-4,1,8600,1,12,0,16000,127500,100,2,30875,0,2,1,0
1055,19,12,16,1,3,1,0,600,536,506,4,2320,1,100,0,0,472000,80,2,61000,0,2,1,1
1056,19,11,12,5,3,2,0,400,408,-4,1,4230,4,-4,1,0,20000,20,1,13000,0,2,3,1
1057,21,12,-3,7,2,2,1,309,320,-4,-4,3600,2,3,1,16000,65500,25,3,48000,0,2,1,0
1058,15,13,8,3,2,1,0,451,481,-4,1,120,2,25,1,65000,-5500,40,2,65000,0,2,0,1
1059,21,-2,-3,3,2,1,0,337,394,-4,1,8960,2,3500,0,0,49500,50,2,26400,0,2,1,1
1060,19,10,14,1,3,1,0,457,538,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1061,20,12,12,1,3,1,0,565,600,-4,1,6200,2,200,1,86000,10000,50,1,86000,0,2,3,1
1062,20,12,12,1,3,1,0,563,459,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1063,18,10,8,5,3,2,0,472,525,-4,1,5400,2,80,1,28064,140651,50,1,28064,0,3,1,0
1064,21,12,12,1,3,1,0,589,517,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1065,20,12,12,5,3,2,0,553,538,-4,1,5400,2,60,1,25000,306500,10,2,129000,0,2,1,1
1066,21,10,12,3,2,1,0,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1067,18,-2,-2,3,2,1,0,382,317,-5,-4,-4,-4,-4,0,0,1000,100,1,10500,1,4,0,1
1068,21,8,11,3,2,1,-3,364,297,-4,-4,6330,2,-4,0,-2,0,50,2,-2,-3,4,0,1
1069,21,10,10,6,3,2,0,378,375,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1070,20,-2,10,7,2,2,1,317,399,-4,1,5240,5,2,1,10000,-7000,80,2,36868,0,2,1,1
1071,16,10,10,7,2,2,1,350,347,-4,1,5610,2,80,1,20000,195600,30,2,29600,0,3,1,1
1072,18,16,18,3,2,1,0,495,401,2204,5,800,1,3000,1,123400,331000,10,4,217100,0,3,1,1
1073,20,10,-2,7,2,2,0,412,363,1501,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1074,17,10,12,7,2,2,0,372,405,1203,1,4120,1,120,1,24960,30080,11,2,-2,-3,3,6,1
1075,21,8,5,5,3,2,0,-4,-4,-4,1,4700,2,12,1,31000,337100,50,2,64000,0,2,1,1
1076,14,12,12,8,1,2,-3,444,481,703,2,620,3,50,0,0,-29960,80,1,0,1,3,3,1
1077,18,12,6,6,3,2,0,408,338,-4,-4,4760,2,75,0,9000,6000,25,3,134000,0,3,1,1
1078,19,12,12,7,2,2,0,562,684,401,4,1960,1,2000,1,93000,-3,40,1,153000,0,3,0,1
1079,18,-3,-3,7,2,2,-3,435,475,514,1,860,2,13,0,43000,66700,20,2,43000,0,3,0,1
1080,15,10,8,5,3,2,0,570,496,-4,1,5140,4,-4,1,15000,1282500,20,4,51500,0,3,1,1
1081,17,16,16,1,3,1,0,542,548,501,2,6520,2,19,0,45000,160000,60,1,-2,-3,3,0,1
1082,16,16,16,5,3,2,0,601,587,702,4,5000,2,60,1,93000,360000,20,4,173300,0,3,1,1
1083,19,12,12,5,3,2,0,602,571,1102,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1084,22,-2,6,1,3,1,-3,435,344,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1085,18,8,12,1,3,1,0,491,628,-4,1,7700,2,100,1,67182,54000,80,1,67182,0,3,3,0
1086,17,16,18,5,3,2,0,505,701,823,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1087,15,16,18,5,3,2,0,741,721,2207,3,2310,1,-4,1,8000,735869,40,7,73700,0,2,1,1
1088,18,16,18,5,3,2,0,682,681,2202,5,4140,1,-2,1,38000,322200,30,6,226350,0,-4,1,-4
1089,16,8,10,1,3,1,0,395,358,-4,-4,6260,4,-4,1,0,14475,40,2,26164,0,3,3,1
1090,14,10,9,5,3,2,1,374,458,-4,-4,-4,-4,-4,0,0,51500,100,1,2328,1,3,3,0
1091,21,8,5,1,3,1,0,454,578,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1092,16,8,5,1,3,1,0,489,595,-4,1,2000,1,200,0,30000,4000,70,1,30000,0,3,0,0
1093,18,12,18,5,3,2,0,493,562,0,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1094,20,12,9,1,3,1,-3,481,473,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1095,16,-3,7,1,3,1,0,518,577,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1096,21,12,7,1,3,1,0,474,326,-4,-4,9130,2,300,0,50000,16000,10,2,-2,-3,3,3,1
1097,21,16,16,1,3,1,0,636,584,801,1,1110,3,275,1,87000,25000,20,2,122000,0,3,1,1
1098,20,16,16,1,3,1,0,680,600,909,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1099,18,16,16,1,3,1,0,571,545,508,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1100,16,16,16,5,3,2,0,488,473,1305,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1101,22,12,14,8,1,2,-3,620,552,4901,3,-4,1,75,1,85822,1088600,-2,1,85822,0,3,6,0
1102,21,14,16,1,3,1,0,420,550,506,2,10,2,9,1,1,5526252,30,5,922631,0,1,1,1
1103,20,12,19,5,3,2,0,615,469,401,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1104,20,12,18,5,3,2,0,541,510,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1105,17,12,19,5,3,2,0,533,543,1203,4,3130,2,24,1,110000,465200,20,2,160226,0,3,1,1
1106,14,12,18,5,3,2,0,576,735,1007,1,-4,-3,-2,1,0,455640,0,1,0,1,3,0,1
1107,22,12,16,1,3,1,0,501,488,-4,1,600,2,50,1,108000,2261506,60,2,178000,0,3,1,0
1108,21,12,16,5,3,2,0,412,433,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1109,16,12,16,1,3,1,0,623,515,501,1,-4,-4,-4,0,0,-3,100,2,-1,-3,3,0,1
1110,16,10,12,5,3,2,0,488,474,-4,1,-4,-4,-4,0,0,-3,50,2,50000,0,3,1,1
1111,22,9,9,5,3,2,0,494,450,-4,1,5700,2,40,1,55000,-3,50,2,113000,0,3,1,0
1112,14,9,-3,6,3,2,0,502,424,-4,1,5620,2,300,1,21000,-61888,50,6,53000,0,3,1,1
1113,22,6,6,4,1,1,-5,-4,-4,-4,-5,-4,-4,-4,0,0,-8400,100,2,18684,0,3,1,1
1114,18,9,12,8,1,2,-3,474,435,502,1,430,2,450,0,33000,-1760,100,1,33000,0,3,3,1
1115,21,8,8,4,1,1,0,469,443,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1116,17,10,10,8,1,2,0,433,460,504,2,2140,2,2,0,27000,283800,30,3,29500,0,3,3,1
1117,16,8,6,8,1,2,0,505,442,-4,8,5000,2,8,1,45000,514000,80,4,-2,-3,3,1,1
1118,15,6,6,8,1,2,1,415,426,-4,1,4920,2,50,1,50000,282992,0,1,50000,0,3,1,1
1119,22,12,4,4,1,1,-3,704,444,901,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1120,20,12,4,4,1,1,-3,673,477,908,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1121,17,4,4,8,1,2,1,-4,-4,-4,-5,-4,-4,-4,0,0,427500,10,2,-1,-3,3,1,1
1122,21,12,17,4,1,1,0,700,668,502,3,800,1,80,1,72000,15000,50,4,168000,0,3,1,1
1123,21,12,6,8,1,2,0,511,411,802,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1124,18,10,8,4,1,1,-3,215,349,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1125,17,12,12,4,1,1,0,-4,-4,428,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1126,20,12,12,8,1,2,-3,-4,-4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1127,17,17,17,4,1,1,0,493,524,902,1,5850,2,60,0,22000,-3,80,2,-2,-3,3,1,1
1128,20,12,12,8,1,2,-3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1129,20,12,16,5,3,2,0,292,239,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1130,19,8,9,8,1,2,0,448,579,514,1,-4,-4,-4,0,0,189000,5,2,86000,0,3,1,1
1131,20,11,11,8,1,2,0,456,385,-4,1,5700,2,55,0,47000,6500,60,3,66000,0,3,1,1
1132,16,11,-2,8,1,2,0,512,402,-4,1,5400,1,25,1,40643,-3,75,2,40643,0,3,3,1
1133,18,13,12,5,3,2,0,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1134,15,13,12,1,3,1,0,553,628,-4,1,7430,2,12,1,52000,236000,0,4,62000,0,3,1,1
1135,14,15,13,5,3,2,0,539,538,834,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1136,16,8,12,8,1,2,0,670,722,1501,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1137,20,14,14,1,3,1,0,523,565,506,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1138,22,14,14,1,3,1,0,545,505,510,4,5000,1,10,1,150000,-3,25,1,922631,0,3,3,0
1139,17,13,20,5,3,2,0,521,623,2207,4,2710,2,99995,0,46550,706019,10,1,46550,0,3,0,1
1140,20,12,12,5,3,2,1,544,481,801,4,-4,-4,-4,0,0,5526252,0,2,47200,0,3,1,1
1141,20,12,15,5,3,2,0,279,469,-5,1,3320,2,450,0,28000,-5350,98,5,-2,-3,3,3,1
1142,20,18,20,4,1,1,0,631,527,506,4,10,4,-4,1,332954,2148380,30,2,922631,0,-4,1,-4
1143,19,16,20,1,3,1,0,598,497,509,3,4700,4,-4,1,332954,2091955,10,3,289000,0,3,1,1
1144,17,16,20,1,3,1,0,605,475,0,4,4850,4,1,1,160000,1737000,30,1,160000,0,3,0,1
1145,17,12,16,1,3,1,0,624,629,901,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1146,17,12,18,1,3,1,-3,428,329,2105,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1147,17,14,16,5,3,2,0,537,505,-5,1,5410,2,-2,1,27000,-1700,50,2,27000,0,3,3,1
1148,20,6,9,3,2,1,0,331,377,-4,1,5620,2,160,1,28000,71120,80,1,42136,0,3,3,1
1149,17,6,9,3,2,1,0,408,333,-4,1,-4,-4,-4,0,0,-142,30,1,-2,-3,3,3,1
1150,15,6,9,3,2,1,0,359,434,-4,-4,3850,1,30,1,32000,55600,10,1,38000,0,3,3,0
1151,20,12,10,3,2,1,1,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1152,17,12,10,7,2,2,1,217,337,-4,-5,-4,-4,-4,0,0,102000,80,3,0,1,3,0,1
1153,15,12,10,3,2,1,1,279,407,-4,-4,4140,2,20,0,3500,0,5,1,3500,1,3,0,1
1154,20,12,12,7,2,2,0,469,476,506,2,420,1,50,1,104000,-3,0,1,104000,0,3,0,1
1155,17,12,12,7,2,2,0,405,399,514,2,5840,2,-2,1,74000,-3,1,2,74000,0,3,1,1
1156,21,12,14,3,2,1,0,491,453,-4,1,9120,1,300,1,48000,-3,60,1,48000,0,3,0,1
1157,18,11,16,7,2,2,0,548,540,514,1,4920,2,98,0,0,327400,80,3,125000,0,3,1,1
1158,18,11,4,7,2,2,0,458,400,514,8,5240,2,115,1,36000,82500,10,3,36000,0,3,3,1
1159,17,11,4,7,2,2,0,520,426,703,2,2540,1,40,0,16000,-3,1,3,-1,-3,3,1,1
1160,15,11,4,7,2,2,0,453,465,508,8,4600,4,-4,1,20000,49400,-2,5,60000,0,3,1,1
1161,21,12,11,7,2,2,0,427,513,-4,1,-4,-4,-4,0,0,0,0,3,-2,-3,3,3,1
1162,14,11,12,7,2,2,-3,400,366,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1163,20,12,10,6,3,2,1,449,400,-4,1,8960,2,150,0,-2,171000,75,2,-2,-3,3,1,1
1164,18,6,5,6,3,2,-3,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1165,20,0,0,7,2,2,1,389,369,1004,1,4600,3,15,1,27000,66500,50,2,50000,0,3,1,1
1166,17,12,14,7,2,2,0,470,515,1207,2,-4,-4,-4,0,0,95000,100,3,-2,-3,3,1,1
1167,15,14,20,5,3,2,0,591,640,1509,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1168,18,11,10,7,2,2,0,396,417,514,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1169,20,12,14,1,3,1,0,513,534,-4,1,4210,4,-4,1,50000,1967780,50,2,150000,0,3,1,0
1170,17,12,13,5,3,2,-3,470,439,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1171,16,12,14,1,3,1,-3,454,446,-4,1,9130,4,-4,1,94000,160976,0,1,294000,0,3,0,1
1172,19,12,8,5,3,2,0,524,592,-4,1,5120,2,2,1,20800,5526252,10,2,53508,0,3,1,1
1173,17,11,8,1,3,1,1,522,496,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1174,19,14,11,1,3,1,0,664,562,2105,4,5930,2,14,1,71000,526000,50,2,200000,0,3,1,1
1175,20,12,16,5,3,2,0,643,615,501,-5,120,2,100,1,332954,3128409,40,1,203000,0,1,0,1
1176,14,12,18,1,3,1,0,500,500,605,4,4840,3,7,1,112000,418000,20,3,142100,0,3,1,1
1177,17,12,12,5,3,2,0,657,637,502,4,800,2,16,1,50000,223500,10,3,126000,0,3,1,1
1178,16,12,12,5,3,2,0,573,526,802,3,2300,1,40,0,0,412250,50,2,100000,0,3,1,1
1179,16,12,12,5,3,2,0,548,532,-4,1,6420,4,-4,1,15000,304564,30,2,74000,0,3,1,1
1180,20,14,9,1,3,1,0,438,392,909,8,10,4,-4,1,332954,1496853,50,1,922631,0,3,3,2
1181,22,13,14,5,3,2,0,507,542,514,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1182,20,17,18,5,3,2,0,594,582,1004,5,2750,3,100,1,6000,1305000,20,2,40000,0,3,1,1
1183,18,16,17,1,3,1,0,630,586,202,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1184,21,16,16,5,3,2,0,607,666,1105,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1185,18,16,16,1,3,1,0,758,615,906,4,-4,2,50,1,332954,1371000,10,3,922631,0,3,1,1
1186,17,16,16,1,3,1,0,603,499,910,1,220,2,1,0,165000,2367300,25,2,255000,0,3,1,0
1187,18,12,12,5,3,2,0,598,583,1220,3,2060,2,40,1,40000,115500,50,2,76300,0,3,1,1
1188,16,12,12,1,3,1,0,603,516,502,1,5620,2,180,1,36000,105500,25,1,36000,0,3,3,2
1189,20,11,12,7,2,2,0,414,470,2105,2,4030,4,-4,0,0,284500,15,2,55200,0,3,1,1
1190,19,11,12,3,2,1,0,416,437,-4,1,9130,2,350,0,30000,-3,50,4,65838,0,3,1,0
1191,18,9,-2,7,2,2,0,397,436,514,2,-4,-4,-4,0,23000,14500,10,2,34004,0,3,1,0
1192,16,-2,-2,3,2,1,0,446,426,9996,2,-4,-4,-4,0,0,3100,80,2,47372,0,3,1,0
1193,14,11,-2,3,2,1,0,354,480,0,1,3920,1,20,1,27000,59000,5,2,27000,0,3,6,0
1194,21,12,12,3,2,1,-3,428,435,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1195,16,3,12,7,2,2,-3,603,528,506,4,50,2,6,1,75000,64000,50,4,-2,-3,3,1,1
1196,14,-3,12,1,3,1,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1197,14,-3,12,1,3,1,-3,569,523,506,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1198,16,-3,-2,1,3,1,-3,546,487,0,1,3300,3,700,0,70000,252600,0,1,70000,0,4,3,0
1199,21,10,12,6,3,2,0,379,467,1207,1,3410,2,5,1,19282,34000,50,3,19282,1,3,1,1
1200,18,12,6,5,3,2,-3,466,525,1223,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1201,17,6,3,3,2,1,-3,461,424,904,2,1360,1,2000,0,35000,127360,30,1,84000,0,3,0,1
1202,19,6,3,7,2,2,0,366,403,514,1,5810,1,500,1,30000,52005,20,2,46000,0,3,1,0
1203,18,6,3,7,2,2,-3,382,376,-4,1,5220,1,3000,1,-1,-3,30,2,-1,-3,3,1,1
1204,17,-3,-2,1,3,1,0,277,330,-4,-4,9600,2,50,1,40000,35875,50,1,60000,0,3,0,1
1205,16,10,12,1,3,1,1,364,293,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1206,17,8,6,7,2,2,1,454,387,-4,-4,-4,-4,-4,0,0,-3,100,3,10644,1,3,1,1
1207,19,10,7,7,2,2,0,428,390,1207,1,7800,2,300,1,15000,2078,40,2,26204,0,3,2,1
1208,21,9,9,7,2,2,0,606,591,909,7,2340,1,-2,1,-1,-3,50,1,-1,-3,3,0,1
1209,20,12,10,7,2,2,-3,319,359,1203,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1210,18,-2,12,7,2,2,-3,232,298,-4,-4,4200,2,20,1,20000,0,100,5,20000,1,3,2,1
1211,16,-2,12,3,2,1,-3,210,279,-4,-4,5000,1,150,0,20000,191000,0,2,20000,0,3,0,1
1212,21,12,-2,7,2,2,1,231,205,-4,-4,4220,2,80,0,-2,-3500,0,1,-2,-3,3,3,1
1213,17,8,-4,7,2,2,1,281,316,-4,-4,-4,-4,-4,0,0,0,5,1,9276,1,3,6,1
1214,14,8,-3,7,2,2,1,314,322,506,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1215,16,8,-3,3,2,1,1,448,398,-4,1,4020,2,50,0,0,-8000,30,2,770,1,3,1,1
1216,18,11,-3,7,2,2,1,383,389,-4,1,4610,3,1000,1,20000,48000,50,2,55000,0,3,1,1
1217,16,11,-2,3,2,1,1,350,337,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1218,14,11,-2,3,2,1,1,439,306,506,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1219,17,9,-2,3,2,1,1,414,293,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1220,15,10,-2,7,2,2,0,311,345,-4,1,-4,-4,-4,0,0,0,100,2,0,1,3,2,0
